user_id,username,email,password,date_joined,profile_picture
1,katrina06,ryanhernandez@benjamin.com,!62XfQLdRr,2023-01-24,https://dummyimage.com/772x124
2,marymoore,rodriguezrachel@hotmail.com,1#^7Rl*r!h,2022-11-01,https://dummyimage.com/313x836
3,russell60,omartinez@yahoo.com,E$!42PHpCh,2024-04-09,https://placekitten.com/938/442
4,nancy58,curtismatthew@gmail.com,^96NplnIWr,2022-06-30,https://dummyimage.com/823x399
5,kedwards,michele77@jones-reed.net,)LMj1A7OH6,2023-10-10,https://placeimg.com/686/303/any
6,lynchtina,henryheather@gmail.com,M&W7dmJqSZ,2023-02-22,https://placekitten.com/740/425
7,mburns,oford@gmail.com,71M@8W_1&l,2023-06-14,https://dummyimage.com/714x674
8,leekathy,sherrycarpenter@hotmail.com,%pbc1yHiI2,2023-05-15,https://placeimg.com/128/295/any
9,michelleclark,jonathandecker@gmail.com,N(6K84NtYE,2023-05-21,https://placeimg.com/103/567/any
10,yallen,hickshector@gmail.com,Vr8aUCuGy^,2023-05-11,https://placeimg.com/846/1002/any
